Year,obesity
2010,23.84285714285714
2011,24.695238095238096
2012,25.614285714285714
2013,25.614285714285714
2014,25.261904761904763
2015,25.333333333333332
2016,25.633333333333333
2017,26.604761904761904
2018,26.84285714285714
2019,27.095238095238095
2020,27.447619047619046
